customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,customer_segment
17754,0,16,4383.08,4,4,4,444,Champions
17315,0,49,9467.45,4,4,4,444,Champions
12713,0,1,794.55,4,1,2,412,Recent Customers
16705,0,61,42653.14,4,4,4,444,Champions
13777,0,73,49228.16,4,4,4,444,Champions
16446,0,4,2.90,4,3,1,431,Low Engagement
14397,0,23,2556.68,4,4,4,444,Champions
13113,0,60,16250.09,4,4,4,444,Champions
13069,0,42,8358.79,4,4,4,444,Champions
12748,0,365,46674.18,4,4,4,444,Champions
12423,0,11,2291.19,4,4,4,444,Champions
16558,0,47,13149.56,4,4,4,444,Champions
17581,0,53,17543.99,4,4,4,444,Champions
14446,0,5,1195.48,4,3,3,433,Champions
16954,0,21,6037.33,4,4,4,444,Champions
18102,0,153,578408.64,4,4,4,444,Champions
16626,0,20,4379.65,4,4,4,444,Champions
12433,0,11,16794.14,4,4,4,444,Champions
12680,0,4,790.81,4,3,2,432,Loyal Customers
14051,0,42,21441.48,4,4,4,444,Champions
15344,0,5,476.58,4,3,2,432,Loyal Customers
17490,0,13,2595.01,4,4,4,444,Champions
12662,0,22,6091.69,4,4,4,444,Champions
14422,0,21,10200.92,4,4,4,444,Champions
12526,0,3,1172.66,4,2,3,423,Recent Customers
17364,0,31,11587.05,4,4,4,444,Champions
17428,0,51,30885.06,4,4,4,444,Champions
15694,0,29,9719.13,4,4,4,444,Champions
12518,0,5,1840.89,4,3,3,433,Champions
15910,0,15,2661.17,4,4,4,444,Champions
17389,0,77,54945.68,4,4,4,444,Champions
15311,0,270,111444.36,4,4,4,444,Champions
17001,0,19,6640.80,4,4,4,444,Champions
12985,0,3,1215.62,4,2,3,423,Recent Customers
15498,0,55,24739.06,4,4,4,444,Champions
15804,0,19,3848.55,4,4,4,444,Champions
14441,0,19,4426.99,4,4,4,444,Champions
13426,0,24,8084.38,4,4,4,444,Champions
12523,1,30,3877.05,4,4,4,444,Champions
17243,1,80,20004.03,4,4,4,444,Champions
15951,1,4,974.52,4,3,3,433,Champions
15520,1,1,343.50,4,1,2,412,Recent Customers
15877,1,3,437.83,4,2,2,422,Recent Customers
13890,1,22,2858.73,4,4,4,444,Champions
